playlist_id,playlist_name,playlist_img,playlist_owner_name,playlist_owner_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,analysis_url,time_signature,added_at,is_local,primary_color,added_by.href,added_by.id,added_by.type,added_by.uri,added_by.external_urls.spotify,track.artists,track.available_markets,track.disc_number,track.duration_ms,track.episode,track.explicit,track.href,track.is_local,track.name,track.popularity,track.preview_url,track.track,track.track_number,track.type,track.uri,track.album.album_type,track.album.artists,track.album.available_markets,track.album.href,track.album.id,track.album.images,track.album.name,track.album.release_date,track.album.release_date_precision,track.album.total_tracks,track.album.type,track.album.uri,track.album.external_urls.spotify,track.external_ids.isrc,track.external_urls.spotify,video_thumbnail.url,key_name,mode_name,key_mode
37i9dQZF1DWZxM58TRkuqg,Puncak Klasemen,https://i.scdn.co/image/ab67706f0000000372d962577b47cd3044562cc5,Spotify,spotify,0.643,0.436,6,-11.322,1,0.0357,0.702,0.0889,0.115,0.755,71.969,2hHeGD57S0BcopfVcmehdl,https://api.spotify.com/v1/audio-analysis/2hHeGD57S0BcopfVcmehdl,4,2022-03-10T17:00:00Z,FALSE,,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,242000,FALSE,FALSE,https://api.spotify.com/v1/tracks/2hHeGD57S0BcopfVcmehdl,FALSE,Hati-Hati di Jalan,84,https://p.scdn.co/mp3-preview/6c79e207c400535c71e540d108d189eb4afaef8a?cid=46f08ee3e7d0421ab91abc12a45cc7b0,TRUE,8,track,spotify:track:2hHeGD57S0BcopfVcmehdl,album,,,https://api.spotify.com/v1/albums/3R4IAF9ApqYeUQrv1ddyoR,3R4IAF9ApqYeUQrv1ddyoR,,Manusia,03-03-22,day,10,album,spotify:album:3R4IAF9ApqYeUQrv1ddyoR,https://open.spotify.com/album/3R4IAF9ApqYeUQrv1ddyoR,FR2X42253130,https://open.spotify.com/track/2hHeGD57S0BcopfVcmehdl,,F#,major,F# major
37i9dQZF1DWZxM58TRkuqg,Puncak Klasemen,https://i.scdn.co/image/ab67706f0000000372d962577b47cd3044562cc5,Spotify,spotify,0.298,0.336,9,-8.292,1,0.0314,0.871,0.00105,0.0822,0.242,127.215,5GUO3EFS53h3nIi61C49J4,https://api.spotify.com/v1/audio-analysis/5GUO3EFS53h3nIi61C49J4,4,2022-03-10T17:00:00Z,FALSE,,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,203000,FALSE,FALSE,https://api.spotify.com/v1/tracks/5GUO3EFS53h3nIi61C49J4,FALSE,Cinta Sederhana,51,,TRUE,1,track,spotify:track:5GUO3EFS53h3nIi61C49J4,single,,,https://api.spotify.com/v1/albums/79sCaeNY1nh0lnICvjEaDJ,79sCaeNY1nh0lnICvjEaDJ,,Cinta Sederhana,11-03-22,day,1,album,spotify:album:79sCaeNY1nh0lnICvjEaDJ,https://open.spotify.com/album/79sCaeNY1nh0lnICvjEaDJ,IDA682200182,https://open.spotify.com/track/5GUO3EFS53h3nIi61C49J4,,A,major,A major
37i9dQZF1DWZxM58TRkuqg,Puncak Klasemen,https://i.scdn.co/image/ab67706f0000000372d962577b47cd3044562cc5,Spotify,spotify,0.35,0.323,1,-8.982,1,0.0369,0.873,0.00000148,0.103,0.278,169.513,7IRi1d3Nsrww8mnGv1YW4l,https://api.spotify.com/v1/audio-analysis/7IRi1d3Nsrww8mnGv1YW4l,3,2022-03-10T17:00:00Z,FALSE,,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,275250,FALSE,FALSE,https://api.spotify.com/v1/tracks/7IRi1d3Nsrww8mnGv1YW4l,FALSE,Kau Rumahku,62,https://p.scdn.co/mp3-preview/438ba6c48b9877f28fd72e5ad03781983d7d6065?cid=46f08ee3e7d0421ab91abc12a45cc7b0,TRUE,1,track,spotify:track:7IRi1d3Nsrww8mnGv1YW4l,single,,,https://api.spotify.com/v1/albums/4NAkOFSqThyy06ViavcOpQ,4NAkOFSqThyy06ViavcOpQ,,Kau Rumahku,10-01-22,day,1,album,spotify:album:4NAkOFSqThyy06ViavcOpQ,https://open.spotify.com/album/4NAkOFSqThyy06ViavcOpQ,IDA712000514,https://open.spotify.com/track/7IRi1d3Nsrww8mnGv1YW4l,,C#,major,C# major
37i9dQZF1DWZxM58TRkuqg,Puncak Klasemen,https://i.scdn.co/image/ab67706f0000000372d962577b47cd3044562cc5,Spotify,spotify,0.527,0.258,4,-9.499,1,0.0319,0.821,0.000172,0.148,0.347,139.928,1USA6DXJ1qsucoKnDu4vnu,https://api.spotify.com/v1/audio-analysis/1USA6DXJ1qsucoKnDu4vnu,4,2022-03-10T17:00:00Z,FALSE,,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,241714,FALSE,FALSE,https://api.spotify.com/v1/tracks/1USA6DXJ1qsucoKnDu4vnu,FALSE,Tak Kan Hilang (OST DJS The Movie : Biarkan Aku Menari),61,https://p.scdn.co/mp3-preview/59adb711f800c743bd6d870bf2849a63389ddd4e?cid=46f08ee3e7d0421ab91abc12a45cc7b0,TRUE,1,track,spotify:track:1USA6DXJ1qsucoKnDu4vnu,single,,,https://api.spotify.com/v1/albums/6JmBf13wUd3kJEdoXgbZy5,6JmBf13wUd3kJEdoXgbZy5,,Tak Kan Hilang (OST DJS The Movie : Biarkan Aku Menari),25-02-22,day,1,album,spotify:album:6JmBf13wUd3kJEdoXgbZy5,https://open.spotify.com/album/6JmBf13wUd3kJEdoXgbZy5,IDA642203606,https://open.spotify.com/track/1USA6DXJ1qsucoKnDu4vnu,,E,major,E major
37i9dQZF1DWZxM58TRkuqg,Puncak Klasemen,https://i.scdn.co/image/ab67706f0000000372d962577b47cd3044562cc5,Spotify,spotify,0.613,0.711,7,-6.365,1,0.0335,0.477,0.000299,0.225,0.62,108.043,5bJ6hENlOjiidWcfLe1i3B,https://api.spotify.com/v1/audio-analysis/5bJ6hENlOjiidWcfLe1i3B,4,2022-03-10T17:00:00Z,FALSE,,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,254600,FALSE,FALSE,https://api.spotify.com/v1/tracks/5bJ6hENlOjiidWcfLe1i3B,FALSE,Tujuh Belas,57,,TRUE,1,track,spotify:track:5bJ6hENlOjiidWcfLe1i3B,single,,,https://api.spotify.com/v1/albums/4KBntTOAV7gwKQ95yrkeZv,4KBntTOAV7gwKQ95yrkeZv,,Tujuh Belas,23-02-22,day,1,album,spotify:album:4KBntTOAV7gwKQ95yrkeZv,https://open.spotify.com/album/4KBntTOAV7gwKQ95yrkeZv,FR10S2294308,https://open.spotify.com/track/5bJ6hENlOjiidWcfLe1i3B,,G,major,G major
37i9dQZF1DWZxM58TRkuqg,Puncak Klasemen,https://i.scdn.co/image/ab67706f0000000372d962577b47cd3044562cc5,Spotify,spotify,0.325,0.345,5,-9.536,1,0.0311,0.495,0,0.0726,0.135,77.835,3ajNIJJmIbFFJKZcTolYZO,https://api.spotify.com/v1/audio-analysis/3ajNIJJmIbFFJKZcTolYZO,4,2022-03-10T17:00:00Z,FALSE,,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,240759,FALSE,FALSE,https://api.spotify.com/v1/tracks/3ajNIJJmIbFFJKZcTolYZO,FALSE,Bertahan Terluka,77,https://p.scdn.co/mp3-preview/9d24d8515fcd648a90ed84a3354ac9c8a3b869a8?cid=46f08ee3e7d0421ab91abc12a45cc7b0,TRUE,1,track,spotify:track:3ajNIJJmIbFFJKZcTolYZO,single,,,https://api.spotify.com/v1/albums/1RgMS8KsAn6fTBw1maWpmo,1RgMS8KsAn6fTBw1maWpmo,,Bertahan Terluka,02-02-22,day,1,album,spotify:album:1RgMS8KsAn6fTBw1maWpmo,https://open.spotify.com/album/1RgMS8KsAn6fTBw1maWpmo,SGB502203331,https://open.spotify.com/track/3ajNIJJmIbFFJKZcTolYZO,,F,major,F major
37i9dQZF1DWZxM58TRkuqg,Puncak Klasemen,https://i.scdn.co/image/ab67706f0000000372d962577b47cd3044562cc5,Spotify,spotify,0.461,0.402,9,-7.609,1,0.0255,0.314,0,0.117,0.125,95.868,0GDxF5uQIqaKhc7qTDlqXZ,https://api.spotify.com/v1/audio-analysis/0GDxF5uQIqaKhc7qTDlqXZ,4,2022-03-10T17:00:00Z,FALSE,,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,279344,FALSE,FALSE,https://api.spotify.com/v1/tracks/0GDxF5uQIqaKhc7qTDlqXZ,FALSE,Janji Kita,67,https://p.scdn.co/mp3-preview/7149fd50c65cc16af6afcf1b97c78aab49531891?cid=46f08ee3e7d0421ab91abc12a45cc7b0,TRUE,1,track,spotify:track:0GDxF5uQIqaKhc7qTDlqXZ,single,,,https://api.spotify.com/v1/albums/2XQoSX8gA4iBkgbF0GHkuD,2XQoSX8gA4iBkgbF0GHkuD,,Janji Kita,31-12-21,day,1,album,spotify:album:2XQoSX8gA4iBkgbF0GHkuD,https://open.spotify.com/album/2XQoSX8gA4iBkgbF0GHkuD,FRS182107070,https://open.spotify.com/track/0GDxF5uQIqaKhc7qTDlqXZ,,A,major,A major
37i9dQZF1DWZxM58TRkuqg,Puncak Klasemen,https://i.scdn.co/image/ab67706f0000000372d962577b47cd3044562cc5,Spotify,spotify,0.576,0.329,10,-8.87,1,0.0487,0.813,0.000671,0.108,0.397,72.91,1k1e4Amkn7hIFrEthtazqT,https://api.spotify.com/v1/audio-analysis/1k1e4Amkn7hIFrEthtazqT,4,2022-03-10T17:00:00Z,FALSE,,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,215591,FALSE,FALSE,https://api.spotify.com/v1/tracks/1k1e4Amkn7hIFrEthtazqT,FALSE,Tutur Batin,73,https://p.scdn.co/mp3-preview/eba4003b6cb1a11c37a909419e774bf471f0f900?cid=46f08ee3e7d0421ab91abc12a45cc7b0,TRUE,7,track,spotify:track:1k1e4Amkn7hIFrEthtazqT,album,,,https://api.spotify.com/v1/albums/4ehjkt2KhPomUc7duIqeyD,4ehjkt2KhPomUc7duIqeyD,,Tutur Batin,22-10-21,day,11,album,spotify:album:4ehjkt2KhPomUc7duIqeyD,https://open.spotify.com/album/4ehjkt2KhPomUc7duIqeyD,FRX762119558,https://open.spotify.com/track/1k1e4Amkn7hIFrEthtazqT,,A#,major,A# major
37i9dQZF1DWZxM58TRkuqg,Puncak Klasemen,https://i.scdn.co/image/ab67706f0000000372d962577b47cd3044562cc5,Spotify,spotify,0.576,0.289,5,-9.389,1,0.0261,0.838,0.0000863,0.085,0.485,96.103,2qgjqbi96IAOBzZFC6H57U,https://api.spotify.com/v1/audio-analysis/2qgjqbi96IAOBzZFC6H57U,4,2022-03-10T17:00:00Z,FALSE,,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,240000,FALSE,FALSE,https://api.spotify.com/v1/tracks/2qgjqbi96IAOBzZFC6H57U,FALSE,Diri,76,https://p.scdn.co/mp3-preview/3fd8d134024b2963c31e64d1543c2423b095274c?cid=46f08ee3e7d0421ab91abc12a45cc7b0,TRUE,9,track,spotify:track:2qgjqbi96IAOBzZFC6H57U,album,,,https://api.spotify.com/v1/albums/3R4IAF9ApqYeUQrv1ddyoR,3R4IAF9ApqYeUQrv1ddyoR,,Manusia,03-03-22,day,10,album,spotify:album:3R4IAF9ApqYeUQrv1ddyoR,https://open.spotify.com/album/3R4IAF9ApqYeUQrv1ddyoR,FR2X42253131,https://open.spotify.com/track/2qgjqbi96IAOBzZFC6H57U,,F,major,F major
37i9dQZF1DWZxM58TRkuqg,Puncak Klasemen,https://i.scdn.co/image/ab67706f0000000372d962577b47cd3044562cc5,Spotify,spotify,0.624,0.379,5,-8.9,1,0.0282,0.805,0.00000197,0.29,0.708,92.526,5QJANaK8ZlzI8ftloDM0We,https://api.spotify.com/v1/audio-analysis/5QJANaK8ZlzI8ftloDM0We,4,2022-03-10T17:00:00Z,FALSE,,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,89215,FALSE,FALSE,https://api.spotify.com/v1/tracks/5QJANaK8ZlzI8ftloDM0We,FALSE,Hujan,68,https://p.scdn.co/mp3-preview/28ea24e9af45b6fc9fe9b11d56634477116eb311?cid=46f08ee3e7d0421ab91abc12a45cc7b0,TRUE,1,track,spotify:track:5QJANaK8ZlzI8ftloDM0We,single,,,https://api.spotify.com/v1/albums/34Wh0Ff41ceA0tCJFQFSan,34Wh0Ff41ceA0tCJFQFSan,,Hujan,09-07-21,day,1,album,spotify:album:34Wh0Ff41ceA0tCJFQFSan,https://open.spotify.com/album/34Wh0Ff41ceA0tCJFQFSan,QMFME2118198,https://open.spotify.com/track/5QJANaK8ZlzI8ftloDM0We,,F,major,F major
37i9dQZF1DWZxM58TRkuqg,Puncak Klasemen,https://i.scdn.co/image/ab67706f0000000372d962577b47cd3044562cc5,Spotify,spotify,0.637,0.484,9,-8.845,1,0.0237,0.36,0.0000366,0.171,0.786,95.023,6a1whVolhtgOTmxPYBLJDz,https://api.spotify.com/v1/audio-analysis/6a1whVolhtgOTmxPYBLJDz,4,2022-03-10T17:00:00Z,FALSE,,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,251136,FALSE,FALSE,https://api.spotify.com/v1/tracks/6a1whVolhtgOTmxPYBLJDz,FALSE,Salah,61,https://p.scdn.co/mp3-preview/4e6c6d0dc818f5df325c4d5005d4c306e9a7c4d4?cid=46f08ee3e7d0421ab91abc12a45cc7b0,TRUE,1,track,spotify:track:6a1whVolhtgOTmxPYBLJDz,single,,,https://api.spotify.com/v1/albums/1JcHdPFHVjYN8QKW2ueQT6,1JcHdPFHVjYN8QKW2ueQT6,,Salah,25-02-22,day,1,album,spotify:album:1JcHdPFHVjYN8QKW2ueQT6,https://open.spotify.com/album/1JcHdPFHVjYN8QKW2ueQT6,IDA032100157,https://open.spotify.com/track/6a1whVolhtgOTmxPYBLJDz,,A,major,A major
37i9dQZF1DWZxM58TRkuqg,Puncak Klasemen,https://i.scdn.co/image/ab67706f0000000372d962577b47cd3044562cc5,Spotify,spotify,0.386,0.416,4,-10.543,1,0.0306,0.766,0.0000107,0.119,0.345,122.536,3Ysf0Y3iu23mrDsVh1mdu0,https://api.spotify.com/v1/audio-analysis/3Ysf0Y3iu23mrDsVh1mdu0,4,2022-03-10T17:00:00Z,FALSE,,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,220250,FALSE,FALSE,https://api.spotify.com/v1/tracks/3Ysf0Y3iu23mrDsVh1mdu0,FALSE,Merasa Indah,81,,TRUE,4,track,spotify:track:3Ysf0Y3iu23mrDsVh1mdu0,album,,,https://api.spotify.com/v1/albums/0jxUY7K5FdwJNl3SmnOZOl,0jxUY7K5FdwJNl3SmnOZOl,,Tiara Andini,17-12-21,day,8,album,spotify:album:0jxUY7K5FdwJNl3SmnOZOl,https://open.spotify.com/album/0jxUY7K5FdwJNl3SmnOZOl,IDUM72100488,https://open.spotify.com/track/3Ysf0Y3iu23mrDsVh1mdu0,,E,major,E major
37i9dQZF1DWZxM58TRkuqg,Puncak Klasemen,https://i.scdn.co/image/ab67706f0000000372d962577b47cd3044562cc5,Spotify,spotify,0.488,0.405,8,-6.324,0,0.0302,0.503,0.00000686,0.108,0.152,122.049,6pmo9ha8iOPZc5lxPU9o8w,https://api.spotify.com/v1/audio-analysis/6pmo9ha8iOPZc5lxPU9o8w,4,2022-03-10T17:00:00Z,FALSE,,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,254863,FALSE,FALSE,https://api.spotify.com/v1/tracks/6pmo9ha8iOPZc5lxPU9o8w,FALSE,Sisa Rasa,81,https://p.scdn.co/mp3-preview/9267aade456bc6d599baaae630f9ecefc6d3a2a6?cid=46f08ee3e7d0421ab91abc12a45cc7b0,TRUE,1,track,spotify:track:6pmo9ha8iOPZc5lxPU9o8w,single,,,https://api.spotify.com/v1/albums/1HWELX1pBJxEArEKKoepuJ,1HWELX1pBJxEArEKKoepuJ,,Sisa Rasa,22-10-21,day,1,album,spotify:album:1HWELX1pBJxEArEKKoepuJ,https://open.spotify.com/album/1HWELX1pBJxEArEKKoepuJ,FRX762160980,https://open.spotify.com/track/6pmo9ha8iOPZc5lxPU9o8w,,G#,minor,G# minor
37i9dQZF1DWZxM58TRkuqg,Puncak Klasemen,https://i.scdn.co/image/ab67706f0000000372d962577b47cd3044562cc5,Spotify,spotify,0.581,0.456,10,-8.738,1,0.0269,0.794,0.00000384,0.123,0.4,123.934,5b0NpyYAwW2dUGL08ir7Bg,https://api.spotify.com/v1/audio-analysis/5b0NpyYAwW2dUGL08ir7Bg,4,2022-03-10T17:00:00Z,FALSE,,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,,,1,270926,FALSE,FALSE,https://api.spotify.com/v1/tracks/5b0NpyYAwW2dUGL08ir7Bg,FALSE,Hingga Tua Bersama,75,https://p.scdn.co/mp3-preview/21cff582643ab9bb3530a47d3819b1e7126cb64c?cid=46f08ee3e7d0421ab91abc12a45cc7b0,TRUE,1,track,spotify:track:5b0NpyYAwW2dUGL08ir7Bg,single,,,https://api.spotify.com/v1/albums/0pLC2EIZV2q4Ds7L7qbZaR,0pLC2EIZV2q4Ds7L7qbZaR,,Hingga Tua Bersama,12-05-21,day,1,album,spotify:album:0pLC2EIZV2q4Ds7L7qbZaR,https://open.spotify.com/album/0pLC2EIZV2q4Ds7L7qbZaR,QZHN62176083,https://open.spotify.com/track/5b0NpyYAwW2dUGL08ir7Bg,,A#,major,A# major
